texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
aceptable mínimas necesidades sin duda suficiente cubre,neutro,"['acept', 'minim', 'neces', 'dud', 'suficient', 'cubr']",acept minim neces dud suficient cubr,neutro,neutro
cumple producto especial está bien nada,neutro,"['cumpl', 'product', 'especial', 'bien']",cumpl product especial bien,neutro,neutro
abominable producto peligroso inseguro evitar,negativo,"['abomin', 'product', 'peligr', 'insegur', 'evit']",abomin product peligr insegur evit,negativo,negativo
experiencia sin duda compraré nunca terrible aquí más,negativo,"['experient', 'dud', 'compr', 'nunc', 'terribl', 'aqu']",experient dud compr nunc terribl aqu,negativo,negativo
satisfecho compra superó muy expectativas,positivo,"['satisfech', 'compr', 'super', 'expect']",satisfech compr super expect,positivo,positivo
razonable pagado precio muy correcto para,neutro,"['razon', 'pag', 'preci', 'correct']",razon pag preci correct,neutro,neutro
inicio absolutamente mal defectuoso desde malísimo funciona,negativo,"['inici', 'absolut', 'mal', 'defectu', 'malisim', 'funcion']",inici absolut mal defectu malisim funcion,negativo,negativo
expectativas bajo rendimiento patético defraudado,negativo,"['expect', 'baj', 'rendimient', 'patet', 'defraud']",expect baj rendimient patet defraud,negativo,negativo
cliente nulo atención servicio completamente deplorable,negativo,"['client', 'nul', 'atencion', 'servici', 'complet', 'deplor']",client nul atencion servici complet deplor,negativo,negativo
producto ciertamente está bien nada especial cumple,neutro,"['product', 'ciert', 'bien', 'especial', 'cumpl']",product ciert bien especial cumpl,neutro,neutro
supera muy compra descripción feliz extraordinario,positivo,"['super', 'compr', 'descripcion', 'feliz', 'extraordinari']",super compr descripcion feliz extraordinari,positivo,positivo
esperaba cinco exactamente estrellas perfecto,positivo,"['esper', 'cinc', 'exact', 'estrell', 'perfect']",esper cinc exact estrell perfect,positivo,positivo
premium magnífico producto excepcional calidad,positivo,"['premium', 'magnif', 'product', 'excepcional', 'calid']",premium magnif product excepcional calid,positivo,positivo
espectacular contento buscaba muy justo,positivo,"['espectacul', 'content', 'busc', 'just']",espectacul content busc just,positivo,positivo
precio razonable totalmente para correcto pagado,neutro,"['preci', 'razon', 'total', 'correct', 'pag']",preci razon total correct pag,neutro,neutro
algo esperaba más aceptable aunque completo,neutro,"['esper', 'acept', 'aunqu', 'complet']",esper acept aunqu complet,neutro,neutro
desproporcionado inaceptable calidad injusto definitivamente precio,negativo,"['desproporcion', 'inacept', 'calid', 'injust', 'definit', 'preci']",desproporcion inacept calid injust definit preci,negativo,negativo
desempeño esperado gama media mediano,neutro,"['desempeñ', 'esper', 'gam', 'medi', 'median']",desempeñ esper gam medi median,neutro,neutro
elegante práctico diseño fabuloso ciertamente funcional,positivo,"['eleg', 'practic', 'diseñ', 'fabul', 'ciert', 'funcional']",eleg practic diseñ fabul ciert funcional,positivo,positivo
no promete publicidad decepcionante cumple engañosa,negativo,"['promet', 'public', 'decepcion', 'cumpl', 'engañ']",promet public decepcion cumpl engañ,negativo,negativo
muy compra muy satisfecho expectativas superó,positivo,"['compr', 'satisfech', 'expect', 'super']",compr satisfech expect super,positivo,positivo
recomiendo sensacional mejor inversión hecho ampliamente,positivo,"['recom', 'sensacional', 'mejor', 'inversion', 'hech', 'ampli']",recom sensacional mejor inversion hech ampli,positivo,positivo
sirve pasable emergencia temporal solución,neutro,"['sirv', 'pasabl', 'emergent', 'temporal', 'solucion']",sirv pasabl emergent temporal solucion,neutro,neutro
sin particular decente funciona ciertamente problemas,neutro,"['particul', 'decent', 'funcion', 'ciert', 'problem']",particul decent funcion ciert problem,neutro,neutro
llegó muy malo horrible servicio tarde dañado,negativo,"['lleg', 'mal', 'horribl', 'servici', 'tard', 'dañ']",lleg mal horribl servici tard dañ,negativo,negativo
pena alta maravilloso calidad inversión vale,positivo,"['pen', 'alta', 'maravill', 'calid', 'inversion', 'val']",pen alta maravill calid inversion val,positivo,positivo
algo más completo esperaba aceptable aunque,neutro,"['complet', 'esper', 'acept', 'aunqu']",complet esper acept aunqu,neutro,neutro
buscaba muy justo espectacular contento,positivo,"['busc', 'just', 'espectacul', 'content']",busc just espectacul content,positivo,positivo
malo diseño desastroso inútil incómodo,negativo,"['mal', 'diseñ', 'desastr', 'inutil', 'incomod']",mal diseñ desastr inutil incomod,negativo,negativo
adecuado propósito básico ciertamente nada extraordinario,neutro,"['adecu', 'proposit', 'basic', 'ciert', 'extraordinari']",adecu proposit basic ciert extraordinari,neutro,neutro
común corriente nada impresionante ordinario,neutro,"['comun', 'corrient', 'impresion', 'ordinari']",comun corrient impresion ordinari,neutro,neutro
muy extraordinario básico propósito nada adecuado,neutro,"['extraordinari', 'basic', 'proposit', 'adecu']",extraordinari basic proposit adecu,neutro,neutro
mercado estándar promedio calidad regular,neutro,"['merc', 'estand', 'promedi', 'calid', 'regul']",merc estand promedi calid regul,neutro,neutro
precio producto totalmente excelente recomiendo bastante calidad,positivo,"['preci', 'product', 'total', 'excelent', 'recom', 'bastant', 'calid']",preci product total excelent recom bastant calid,positivo,positivo
inseguro evitar producto peligroso abominable,negativo,"['insegur', 'evit', 'product', 'peligr', 'abomin']",insegur evit product peligr abomin,negativo,negativo
desastroso incómodo inútil diseño malo,negativo,"['desastr', 'incomod', 'inutil', 'diseñ', 'mal']",desastr incomod inutil diseñ mal,negativo,negativo
uso solución diario problema perfecto brillante,positivo,"['uso', 'solucion', 'diari', 'problem', 'perfect', 'brillant']",uso solucion diari problem perfect brillant,positivo,positivo
satisfecho funciones genial perfectamente cumple,positivo,"['satisfech', 'funcion', 'genial', 'perfect', 'cumpl']",satisfech funcion genial perfect cumpl,positivo,positivo
desproporcionado precio injusto calidad inaceptable,negativo,"['desproporcion', 'preci', 'injust', 'calid', 'inacept']",desproporcion preci injust calid inacept,negativo,negativo
buscaba espectacular muy justo contento,positivo,"['busc', 'espectacul', 'just', 'content']",busc espectacul just content,positivo,positivo
mediocre caro sobrevalorado lamentable producto,negativo,"['mediocr', 'car', 'sobrevalor', 'lament', 'product']",mediocr car sobrevalor lament product,negativo,negativo
resistente increíblemente confiable bueno duradero,positivo,"['resistent', 'increibl', 'confiabl', 'buen', 'durader']",resistent increibl confiabl buen durader,positivo,positivo
especial cumple nada totalmente está producto bien,neutro,"['especial', 'cumpl', 'total', 'product', 'bien']",especial cumpl total product bien,neutro,neutro
para correcto pagado razonable precio,neutro,"['correct', 'pag', 'razon', 'preci']",correct pag razon preci,neutro,neutro
engañosa publicidad no cumple decepcionante promete,negativo,"['engañ', 'public', 'cumpl', 'decepcion', 'promet']",engañ public cumpl decepcion promet,negativo,negativo
inseguro evitar producto peligroso abominable,negativo,"['insegur', 'evit', 'product', 'peligr', 'abomin']",insegur evit product peligr abomin,negativo,negativo
uso muy problema perfecto diario brillante solución,positivo,"['uso', 'problem', 'perfect', 'diari', 'brillant', 'solucion']",uso problem perfect diari brillant solucion,positivo,positivo
recomiendo excelente producto calidad totalmente precio,positivo,"['recom', 'excelent', 'product', 'calid', 'total', 'preci']",recom excelent product calid total preci,positivo,positivo
sensacional mejor realmente inversión ampliamente recomiendo hecho,positivo,"['sensacional', 'mejor', 'realment', 'inversion', 'ampli', 'recom', 'hech']",sensacional mejor realment inversion ampli recom hech,positivo,positivo
ciertamente cinco exactamente esperaba estrellas perfecto,positivo,"['ciert', 'cinc', 'exact', 'esper', 'estrell', 'perfect']",ciert cinc exact esper estrell perfect,positivo,positivo
sin decente problemas particular funciona,neutro,"['decent', 'problem', 'particul', 'funcion']",decent problem particul funcion,neutro,neutro
esperado calidad basura deficiente inferior,negativo,"['esper', 'calid', 'basur', 'deficient', 'inferior']",esper calid basur deficient inferior,negativo,negativo
pérdida recomiendo dinero tiempo no,negativo,"['perd', 'recom', 'diner', 'tiemp']",perd recom diner tiemp,negativo,negativo
mal hecho no producto funciona pésimo,negativo,"['mal', 'hech', 'product', 'funcion', 'pesim']",mal hech product funcion pesim,negativo,negativo
definitivamente justo buscaba contento espectacular muy,positivo,"['definit', 'just', 'busc', 'content', 'espectacul']",definit just busc content espectacul,positivo,positivo
diseño elegante práctico ciertamente funcional fabuloso,positivo,"['diseñ', 'eleg', 'practic', 'ciert', 'funcional', 'fabul']",diseñ eleg practic ciert funcional fabul,positivo,positivo
muy justo contento buscaba absolutamente espectacular,positivo,"['just', 'content', 'busc', 'absolut', 'espectacul']",just content busc absolut espectacul,positivo,positivo
volveré satisfecho tremendamente definitivamente comprar,positivo,"['volv', 'satisfech', 'tremend', 'definit', 'compr']",volv satisfech tremend definit compr,positivo,positivo
deficiente calidad bastante inferior esperado basura,negativo,"['deficient', 'calid', 'bastant', 'inferior', 'esper', 'basur']",deficient calid bastant inferior esper basur,negativo,negativo
pésimo funciona hecho producto no mal,negativo,"['pesim', 'funcion', 'hech', 'product', 'mal']",pesim funcion hech product mal,negativo,negativo
feliz supera descripción completamente extraordinario compra muy,positivo,"['feliz', 'super', 'descripcion', 'complet', 'extraordinari', 'compr']",feliz super descripcion complet extraordinari compr,positivo,positivo
calidad inferior esperado basura totalmente deficiente,negativo,"['calid', 'inferior', 'esper', 'basur', 'total', 'deficient']",calid inferior esper basur total deficient,negativo,negativo
cubre mínimas aceptable necesidades suficiente,neutro,"['cubr', 'minim', 'acept', 'neces', 'suficient']",cubr minim acept neces suficient,neutro,neutro
frágil baratos materiales construcción pobre,negativo,"['fragil', 'barat', 'material', 'construccion', 'pobr']",fragil barat material construccion pobr,negativo,negativo
tarde completamente llegó dañado malo horrible servicio,negativo,"['tard', 'complet', 'lleg', 'dañ', 'mal', 'horribl', 'servici']",tard complet lleg dañ mal horribl servici,negativo,negativo
esperada normal básica función cumple,neutro,"['esper', 'normal', 'basic', 'funcion', 'cumpl']",esper normal basic funcion cumpl,neutro,neutro
bastante caro sobrevalorado mediocre producto lamentable,negativo,"['bastant', 'car', 'sobrevalor', 'mediocr', 'product', 'lament']",bastant car sobrevalor mediocr product lament,negativo,negativo
nada básico adecuado extraordinario propósito,neutro,"['basic', 'adecu', 'extraordinari', 'proposit']",basic adecu extraordinari proposit,neutro,neutro
malo llegó dañado tarde servicio horrible,negativo,"['mal', 'lleg', 'dañ', 'tard', 'servici', 'horribl']",mal lleg dañ tard servici horribl,negativo,negativo
nulo servicio bastante deplorable cliente atención,negativo,"['nul', 'servici', 'bastant', 'deplor', 'client', 'atencion']",nul servici bastant deplor client atencion,negativo,negativo
malo llegó dañado tarde servicio horrible,negativo,"['mal', 'lleg', 'dañ', 'tard', 'servici', 'horribl']",mal lleg dañ tard servici horribl,negativo,negativo
sirve temporal pasable emergencia solución,neutro,"['sirv', 'temporal', 'pasabl', 'emergent', 'solucion']",sirv temporal pasabl emergent solucion,neutro,neutro
compra sin duda satisfecho muy expectativas superó,positivo,"['compr', 'dud', 'satisfech', 'expect', 'super']",compr dud satisfech expect super,positivo,positivo
aquí bastante nunca terrible compraré experiencia más,negativo,"['aqu', 'bastant', 'nunc', 'terribl', 'compr', 'experient']",aqu bastant nunc terribl compr experient,negativo,negativo
formidable cumple promesas honesto vendedor,positivo,"['formid', 'cumpl', 'promes', 'honest', 'vendedor']",formid cumpl promes honest vendedor,positivo,positivo
bajo defraudado ciertamente rendimiento patético expectativas,negativo,"['baj', 'defraud', 'ciert', 'rendimient', 'patet', 'expect']",baj defraud ciert rendimient patet expect,negativo,negativo
malas está ok buenas ciertamente cosas tiene,neutro,"['mal', 'buen', 'ciert', 'cos']",mal buen ciert cos,neutro,neutro
suficiente cubre totalmente mínimas aceptable necesidades,neutro,"['suficient', 'cubr', 'total', 'minim', 'acept', 'neces']",suficient cubr total minim acept neces,neutro,neutro
normal cumple función esperada básica,neutro,"['normal', 'cumpl', 'funcion', 'esper', 'basic']",normal cumpl funcion esper basic,neutro,neutro
rápido increíble perfecto servicio bien empaquetado,positivo,"['rap', 'increibl', 'perfect', 'servici', 'bien', 'empaquet']",rap increibl perfect servici bien empaquet,positivo,positivo
dinero tiempo no recomiendo pérdida,negativo,"['diner', 'tiemp', 'recom', 'perd']",diner tiemp recom perd,negativo,negativo
completamente resistente duradero increíblemente bueno confiable,positivo,"['complet', 'resistent', 'durader', 'increibl', 'buen', 'confiabl']",complet resistent durader increibl buen confiabl,positivo,positivo
confiable increíblemente duradero bueno resistente,positivo,"['confiabl', 'increibl', 'durader', 'buen', 'resistent']",confiabl increibl durader buen resistent,positivo,positivo
vendedor absolutamente formidable promesas honesto cumple,positivo,"['vendedor', 'absolut', 'formid', 'promes', 'honest', 'cumpl']",vendedor absolut formid promes honest cumpl,positivo,positivo
pobre baratos construcción materiales frágil,negativo,"['pobr', 'barat', 'construccion', 'material', 'fragil']",pobr barat construccion material fragil,negativo,negativo
cumple decepcionante promete engañosa publicidad no,negativo,"['cumpl', 'decepcion', 'promet', 'engañ', 'public']",cumpl decepcion promet engañ public,negativo,negativo
perfecto exactamente realmente esperaba cinco estrellas,positivo,"['perfect', 'exact', 'realment', 'esper', 'cinc', 'estrell']",perfect exact realment esper cinc estrell,positivo,positivo
lujos simple funcional básico sin,neutro,"['luj', 'simpl', 'funcional', 'basic']",luj simpl funcional basic,neutro,neutro
destacable cumple sin más descripción,neutro,"['destac', 'cumpl', 'descripcion']",destac cumpl descripcion,neutro,neutro
calidad construcción bastante espantoso fácil endeble rompe,negativo,"['calid', 'construccion', 'bastant', 'espant', 'facil', 'endebl', 'romp']",calid construccion bastant espant facil endebl romp,negativo,negativo
endeble rompe espantoso fácil calidad construcción,negativo,"['endebl', 'romp', 'espant', 'facil', 'calid', 'construccion']",endebl romp espant facil calid construccion,negativo,negativo
esperado deficiente calidad inferior basura,negativo,"['esper', 'deficient', 'calid', 'inferior', 'basur']",esper deficient calid inferior basur,negativo,negativo
hecho mejor inversión recomiendo sensacional ampliamente,positivo,"['hech', 'mejor', 'inversion', 'recom', 'sensacional', 'ampli']",hech mejor inversion recom sensacional ampli,positivo,positivo
formidable cumple honesto vendedor promesas,positivo,"['formid', 'cumpl', 'honest', 'vendedor', 'promes']",formid cumpl honest vendedor promes,positivo,positivo
nada común ordinario corriente impresionante,neutro,"['comun', 'ordinari', 'corrient', 'impresion']",comun ordinari corrient impresion,neutro,neutro
deplorable completamente atención cliente nulo servicio,negativo,"['deplor', 'complet', 'atencion', 'client', 'nul', 'servici']",deplor complet atencion client nul servici,negativo,negativo
básico nada propósito extraordinario adecuado,neutro,"['basic', 'proposit', 'extraordinari', 'adecu']",basic proposit extraordinari adecu,neutro,neutro
básico extraordinario muy nada adecuado propósito,neutro,"['basic', 'extraordinari', 'adecu', 'proposit']",basic extraordinari adecu proposit,neutro,neutro
sin realmente decente problemas particular funciona,neutro,"['realment', 'decent', 'problem', 'particul', 'funcion']",realment decent problem particul funcion,neutro,neutro
fabuloso diseño elegante funcional práctico,positivo,"['fabul', 'diseñ', 'eleg', 'funcional', 'practic']",fabul diseñ eleg funcional practic,positivo,positivo
fantástico mejor volveré año absolutamente definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'absolut', 'definit', 'compr']",fantast mejor volv año absolut definit compr,positivo,positivo
recomiendo excelente producto sin duda calidad totalmente precio,positivo,"['recom', 'excelent', 'product', 'dud', 'calid', 'total', 'preci']",recom excelent product dud calid total preci,positivo,positivo
desempeño esperado gama media mediano,neutro,"['desempeñ', 'esper', 'gam', 'medi', 'median']",desempeñ esper gam medi median,neutro,neutro
solución uso problema perfecto totalmente diario brillante,positivo,"['solucion', 'uso', 'problem', 'perfect', 'total', 'diari', 'brillant']",solucion uso problem perfect total diari brillant,positivo,positivo
satisfecho compra superó muy expectativas,positivo,"['satisfech', 'compr', 'super', 'expect']",satisfech compr super expect,positivo,positivo
lujos simple básico sin funcional,neutro,"['luj', 'simpl', 'basic', 'funcional']",luj simpl basic funcional,neutro,neutro
cumple no decepcionante publicidad absolutamente promete engañosa,negativo,"['cumpl', 'decepcion', 'public', 'absolut', 'promet', 'engañ']",cumpl decepcion public absolut promet engañ,negativo,negativo
ciertamente básico propósito extraordinario adecuado nada,neutro,"['ciert', 'basic', 'proposit', 'extraordinari', 'adecu']",ciert basic proposit extraordinari adecu,neutro,neutro
inútil diseño incómodo malo desastroso,negativo,"['inutil', 'diseñ', 'incomod', 'mal', 'desastr']",inutil diseñ incomod mal desastr,negativo,negativo
terrible experiencia nunca más compraré aquí,negativo,"['terribl', 'experient', 'nunc', 'compr', 'aqu']",terribl experient nunc compr aqu,negativo,negativo
estafa total descripción nada horrible,negativo,"['estaf', 'total', 'descripcion', 'horribl']",estaf total descripcion horribl,negativo,negativo
vale calidad maravilloso inversión pena alta,positivo,"['val', 'calid', 'maravill', 'inversion', 'pen', 'alta']",val calid maravill inversion pen alta,positivo,positivo
totalmente exactamente estrellas cinco esperaba perfecto,positivo,"['total', 'exact', 'estrell', 'cinc', 'esper', 'perfect']",total exact estrell cinc esper perfect,positivo,positivo
deplorable cliente servicio nulo bastante atención,negativo,"['deplor', 'client', 'servici', 'nul', 'bastant', 'atencion']",deplor client servici nul bastant atencion,negativo,negativo
compra muy extraordinario supera descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'descripcion', 'feliz']",compr extraordinari super descripcion feliz,positivo,positivo
particular sin funciona problemas decente,neutro,"['particul', 'funcion', 'problem', 'decent']",particul funcion problem decent,neutro,neutro
bajo defraudado sin duda rendimiento patético expectativas,negativo,"['baj', 'defraud', 'dud', 'rendimient', 'patet', 'expect']",baj defraud dud rendimient patet expect,negativo,negativo
inferior basura calidad deficiente esperado,negativo,"['inferior', 'basur', 'calid', 'deficient', 'esper']",inferior basur calid deficient esper,negativo,negativo
construcción baratos pobre frágil materiales,negativo,"['construccion', 'barat', 'pobr', 'fragil', 'material']",construccion barat pobr fragil material,negativo,negativo
definitivamente destacable cumple más descripción sin,neutro,"['definit', 'destac', 'cumpl', 'descripcion']",definit destac cumpl descripcion,neutro,neutro
estándar mercado calidad promedio regular,neutro,"['estand', 'merc', 'calid', 'promedi', 'regul']",estand merc calid promedi regul,neutro,neutro
básica normal cumple esperada función,neutro,"['basic', 'normal', 'cumpl', 'esper', 'funcion']",basic normal cumpl esper funcion,neutro,neutro
materiales completamente baratos pobre frágil construcción,negativo,"['material', 'complet', 'barat', 'pobr', 'fragil', 'construccion']",material complet barat pobr fragil construccion,negativo,negativo
cumple no publicidad decepcionante promete engañosa,negativo,"['cumpl', 'public', 'decepcion', 'promet', 'engañ']",cumpl public decepcion promet engañ,negativo,negativo
no sirve insatisfecho compra muy propósito,negativo,"['sirv', 'insatisfech', 'compr', 'proposit']",sirv insatisfech compr proposit,negativo,negativo
está malas cosas tiene buenas ok,neutro,"['mal', 'cos', 'buen']",mal cos buen,neutro,neutro
sin funciona particular problemas decente,neutro,"['funcion', 'particul', 'problem', 'decent']",funcion particul problem decent,neutro,neutro
cliente nulo atención servicio deplorable,negativo,"['client', 'nul', 'atencion', 'servici', 'deplor']",client nul atencion servici deplor,negativo,negativo
nunca más aquí experiencia compraré terrible,negativo,"['nunc', 'aqu', 'experient', 'compr', 'terribl']",nunc aqu experient compr terribl,negativo,negativo
materiales baratos pobre frágil totalmente construcción,negativo,"['material', 'barat', 'pobr', 'fragil', 'total', 'construccion']",material barat pobr fragil total construccion,negativo,negativo
satisfecho volveré definitivamente comprar tremendamente,positivo,"['satisfech', 'volv', 'definit', 'compr', 'tremend']",satisfech volv definit compr tremend,positivo,positivo
insuperable estupendo completamente calidad relación precio,positivo,"['insuper', 'estupend', 'complet', 'calid', 'relacion', 'preci']",insuper estupend complet calid relacion preci,positivo,positivo
vale alta realmente calidad pena inversión maravilloso,positivo,"['val', 'alta', 'realment', 'calid', 'pen', 'inversion', 'maravill']",val alta realment calid pen inversion maravill,positivo,positivo
diario perfecto uso brillante problema solución,positivo,"['diari', 'perfect', 'uso', 'brillant', 'problem', 'solucion']",diari perfect uso brillant problem solucion,positivo,positivo
sin totalmente básico simple lujos funcional,neutro,"['total', 'basic', 'simpl', 'luj', 'funcional']",total basic simpl luj funcional,neutro,neutro
terrible experiencia sin duda nunca más compraré aquí,negativo,"['terribl', 'experient', 'dud', 'nunc', 'compr', 'aqu']",terribl experient dud nunc compr aqu,negativo,negativo
adecuado nada muy básico propósito extraordinario,neutro,"['adecu', 'basic', 'proposit', 'extraordinari']",adecu basic proposit extraordinari,neutro,neutro
pagado para correcto precio razonable,neutro,"['pag', 'correct', 'preci', 'razon']",pag correct preci razon,neutro,neutro
cumple no decepcionante publicidad promete engañosa,negativo,"['cumpl', 'decepcion', 'public', 'promet', 'engañ']",cumpl decepcion public promet engañ,negativo,negativo
uso totalmente decepcionante calidad primer rompió muy mala,negativo,"['uso', 'total', 'decepcion', 'calid', 'prim', 'romp', 'mal']",uso total decepcion calid prim romp mal,negativo,negativo
esperaba más algo completamente aunque aceptable completo,neutro,"['esper', 'complet', 'aunqu', 'acept', 'complet']",esper complet aunqu acept complet,neutro,neutro
decepcionante uso muy calidad primer ciertamente mala rompió,negativo,"['decepcion', 'uso', 'calid', 'prim', 'ciert', 'mal', 'romp']",decepcion uso calid prim ciert mal romp,negativo,negativo
experiencia compraré nunca terrible aquí más,negativo,"['experient', 'compr', 'nunc', 'terribl', 'aqu']",experient compr nunc terribl aqu,negativo,negativo
malísimo funciona defectuoso inicio mal desde,negativo,"['malisim', 'funcion', 'defectu', 'inici', 'mal']",malisim funcion defectu inici mal,negativo,negativo
funciona particular sin decente problemas,neutro,"['funcion', 'particul', 'decent', 'problem']",funcion particul decent problem,neutro,neutro
sensacional recomiendo ampliamente mejor hecho inversión,positivo,"['sensacional', 'recom', 'ampli', 'mejor', 'hech', 'inversion']",sensacional recom ampli mejor hech inversion,positivo,positivo
rápido increíble perfecto servicio bien completamente empaquetado,positivo,"['rap', 'increibl', 'perfect', 'servici', 'bien', 'complet', 'empaquet']",rap increibl perfect servici bien complet empaquet,positivo,positivo
lujos funcional simple básico definitivamente sin,neutro,"['luj', 'funcional', 'simpl', 'basic', 'definit']",luj funcional simpl basic definit,neutro,neutro
sensacional mejor inversión hecho recomiendo ampliamente,positivo,"['sensacional', 'mejor', 'inversion', 'hech', 'recom', 'ampli']",sensacional mejor inversion hech recom ampli,positivo,positivo
solución diario sin duda perfecto uso brillante problema,positivo,"['solucion', 'diari', 'dud', 'perfect', 'uso', 'brillant', 'problem']",solucion diari dud perfect uso brillant problem,positivo,positivo
mediano gama desempeño media esperado,neutro,"['median', 'gam', 'desempeñ', 'medi', 'esper']",median gam desempeñ medi esper,neutro,neutro
genial satisfecho perfectamente funciones cumple,positivo,"['genial', 'satisfech', 'perfect', 'funcion', 'cumpl']",genial satisfech perfect funcion cumpl,positivo,positivo
muy expectativas superó satisfecho compra,positivo,"['expect', 'super', 'satisfech', 'compr']",expect super satisfech compr,positivo,positivo
contento muy buscaba espectacular justo muy,positivo,"['content', 'busc', 'espectacul', 'just']",content busc espectacul just,positivo,positivo
adecuado propósito básico nada extraordinario,neutro,"['adecu', 'proposit', 'basic', 'extraordinari']",adecu proposit basic extraordinari,neutro,neutro
malas está ok buenas sin duda cosas tiene,neutro,"['mal', 'buen', 'dud', 'cos']",mal buen dud cos,neutro,neutro
sin duda pasable emergencia sirve temporal solución,neutro,"['dud', 'pasabl', 'emergent', 'sirv', 'temporal', 'solucion']",dud pasabl emergent sirv temporal solucion,neutro,neutro
contento buscaba espectacular justo muy,positivo,"['content', 'busc', 'espectacul', 'just']",content busc espectacul just,positivo,positivo
calidad basura inferior deficiente esperado,negativo,"['calid', 'basur', 'inferior', 'deficient', 'esper']",calid basur inferior deficient esper,negativo,negativo
sin definitivamente decente problemas particular funciona,neutro,"['definit', 'decent', 'problem', 'particul', 'funcion']",definit decent problem particul funcion,neutro,neutro
completamente abominable producto peligroso inseguro evitar,negativo,"['complet', 'abomin', 'product', 'peligr', 'insegur', 'evit']",complet abomin product peligr insegur evit,negativo,negativo
excelente construcción impresionante calidad durabilidad,positivo,"['excelent', 'construccion', 'impresion', 'calid', 'durabil']",excelent construccion impresion calid durabil,positivo,positivo
cumple absolutamente básica esperada función normal,neutro,"['cumpl', 'absolut', 'basic', 'esper', 'funcion', 'normal']",cumpl absolut basic esper funcion normal,neutro,neutro
malo horrible sin duda dañado llegó tarde servicio,negativo,"['mal', 'horribl', 'dud', 'dañ', 'lleg', 'tard', 'servici']",mal horribl dud dañ lleg tard servici,negativo,negativo
malo inútil diseño desastroso incómodo,negativo,"['mal', 'inutil', 'diseñ', 'desastr', 'incomod']",mal inutil diseñ desastr incomod,negativo,negativo
recomiendo sensacional hecho mejor inversión ampliamente,positivo,"['recom', 'sensacional', 'hech', 'mejor', 'inversion', 'ampli']",recom sensacional hech mejor inversion ampli,positivo,positivo
común impresionante nada ordinario corriente,neutro,"['comun', 'impresion', 'ordinari', 'corrient']",comun impresion ordinari corrient,neutro,neutro
muy promedio bueno ni ni malo,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
frágil baratos materiales construcción definitivamente pobre,negativo,"['fragil', 'barat', 'material', 'construccion', 'definit', 'pobr']",fragil barat material construccion definit pobr,negativo,negativo
totalmente excelente recomiendo calidad producto precio,positivo,"['total', 'excelent', 'recom', 'calid', 'product', 'preci']",total excelent recom calid product preci,positivo,positivo
totalmente decente funciona sin particular problemas,neutro,"['total', 'decent', 'funcion', 'particul', 'problem']",total decent funcion particul problem,neutro,neutro
aceptable algo aunque más completo esperaba,neutro,"['acept', 'aunqu', 'complet', 'esper']",acept aunqu complet esper,neutro,neutro
básico extraordinario nada completamente adecuado propósito,neutro,"['basic', 'extraordinari', 'complet', 'adecu', 'proposit']",basic extraordinari complet adecu proposit,neutro,neutro
tremendamente volveré comprar definitivamente satisfecho,positivo,"['tremend', 'volv', 'compr', 'definit', 'satisfech']",tremend volv compr definit satisfech,positivo,positivo
lamentable producto caro mediocre sobrevalorado,negativo,"['lament', 'product', 'car', 'mediocr', 'sobrevalor']",lament product car mediocr sobrevalor,negativo,negativo
recomiendo no tiempo realmente pérdida dinero,negativo,"['recom', 'tiemp', 'realment', 'perd', 'diner']",recom tiemp realment perd diner,negativo,negativo
malas tiene ok ciertamente está buenas cosas,neutro,"['mal', 'ciert', 'buen', 'cos']",mal ciert buen cos,neutro,neutro
patético expectativas bajo rendimiento defraudado,negativo,"['patet', 'expect', 'baj', 'rendimient', 'defraud']",patet expect baj rendimient defraud,negativo,negativo
práctico fabuloso funcional elegante diseño,positivo,"['practic', 'fabul', 'funcional', 'eleg', 'diseñ']",practic fabul funcional eleg diseñ,positivo,positivo
problema solución uso perfecto bastante diario brillante,positivo,"['problem', 'solucion', 'uso', 'perfect', 'bastant', 'diari', 'brillant']",problem solucion uso perfect bastant diari brillant,positivo,positivo
premium calidad producto magnífico excepcional,positivo,"['premium', 'calid', 'product', 'magnif', 'excepcional']",premium calid product magnif excepcional,positivo,positivo
pobre materiales baratos frágil construcción,negativo,"['pobr', 'material', 'barat', 'fragil', 'construccion']",pobr material barat fragil construccion,negativo,negativo
injusto desproporcionado inaceptable precio absolutamente calidad,negativo,"['injust', 'desproporcion', 'inacept', 'preci', 'absolut', 'calid']",injust desproporcion inacept preci absolut calid,negativo,negativo
formidable cumple honesto vendedor promesas,positivo,"['formid', 'cumpl', 'honest', 'vendedor', 'promes']",formid cumpl honest vendedor promes,positivo,positivo
sin duda opción sobresaliente mejor mercado,positivo,"['dud', 'opcion', 'sobresalient', 'mejor', 'merc']",dud opcion sobresalient mejor merc,positivo,positivo
increíble rápido empaquetado bastante servicio bien perfecto,positivo,"['increibl', 'rap', 'empaquet', 'bastant', 'servici', 'bien', 'perfect']",increibl rap empaquet bastant servici bien perfect,positivo,positivo
magnífico calidad excepcional producto premium,positivo,"['magnif', 'calid', 'excepcional', 'product', 'premium']",magnif calid excepcional product premium,positivo,positivo
